"filename", "language", "TypeScript React", "SCSS", "TypeScript", "JSON with Comments", "Markdown", "JSON", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/courses/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/courses/own/index.tsx", "TypeScript React", 141, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 157
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/index.tsx", "TypeScript React", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 296
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/message/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/profile/index.tsx", "TypeScript React", 370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 401
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/schedule/index.module.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/home/lin/OdinProject/course-management-system/pages/dashboard/student/schedule/index.tsx", "TypeScript React", 268, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 299
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/courses/[id].tsx", "TypeScript React", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/courses/add-course/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/courses/edit-course/index.tsx", "TypeScript React", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/lin/OdinProject/course-management-system/pages/dashboard/teacher/courses/index.tsx", "TypeScript React", 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 189
